wallet_address,total_pnl_usd,winrate,total_trades,roi_percentage,avg_trade_size,total_volume,consistency_score,token_metrics,risk_metrics,last_updated
87VvciBNv6yhgF28MGFambGAtxfCiZ52m8H2CnXACzkE,19896.215,63.0137,73,42.032524,320.4727,88244.91,0,[],{},2024-11-22 19:45:48.000000
2G2BXXYL1652AotGRuLM77egXDQLZkWvnBZ2ehWcvDau,38391.38,74.82517,286,28.339092,148.2149,56556.5,0,[],{},2024-11-22 19:54:58.000000
2ytbbu1dp6kNxZC862TaCgiUq9vzwY8srWzgVfWgP5G6,12847.414,79.591835,49,290.0282,42.25806,20294.16,0,[],{},2024-11-22 19:56:31.000000
GR3Q4ry7NqCANxtgsLo9YXYc9qaPBAatEmrPt8v8NUPu,4339.993,82.75862,116,368.3697,6.6743,5519.3,0,[],{},2024-11-22 19:57:30.000000
D5ZZVQCLWYJcFPoYinPMnGixJxV1om1HohfcaXbQq3cG,32040.97,61.19403,67,498.12305,49.0178,42894.01,0,[],{},2024-11-22 19:58:51.000000
CKVeb8X3JKUJ4n5xa1jLyyKBgwCVzopAwjVEHcfT7oAt,6624.925,73.09644,197,32.178402,76.3317,23014.37,0,[],{},2024-11-22 20:01:17.000000
2cWecSK5Z6pJWqLcFaXPs3udXXyYhbV8rtR3TQ8Nja4Y,8153.517,68.04124,194,26.551638,83.6312,24180.84,0,[],{},2024-11-22 20:01:20.000000
4uPNVzj6xWTDKDLiMZPsemGYwbQNFNCFckAxfpnghMwN,20483.906,90.69768,43,49.67386,474.64362,101915.35,0,[],{},2024-11-22 20:03:00.000000
9ivt6g72fdp4caZosnrV44p47SNVBz8K4QzQkTiiHR5j,15835.411,79.06977,43,85.589455,488.82208,120058.31,0,[],{},2024-11-22 20:03:02.000000
3xatpC1qrx5mtEc2a9ZCrDhNhdBJWnasYYKksn47MXK1,9995.341,74.4186,43,29.107965,439.34885,86566.2,0,[],{},2024-11-22 20:06:56.000000
3V4wuR8hjV5PUo3KJfBFNtfReBDyRSdwpg5Gt9hvdgdQ,6508.417,68.965515,58,36.44934,148.9428,37079.57,0,[],{},2024-11-22 20:10:43.000000
HgaTfxgngixHvTYCrKBUxRvKgD2rpkWQJoVY4LqTDnjc,5603.668,88.46154,104,51.473927,63.1106,17992.71,0,[],{},2024-11-22 20:12:42.000000
EpjnR2VdfDdYSNrjUKrzffRsRngNYbJ3DWjtJ9EdG2Y2,65370.32,60.0,35,308.5008,352.59528,125507.09,0,[],{},2024-11-22 20:15:12.000000
44cXq9GzYgFG5mky6vTeL3FD8ftXhgyZgRmrYNyzwNYS,3326.7163,63.235294,68,41.608147,47.0095,13542.32,0,[],{},2024-11-22 20:44:43.000000
Fmji4JUAdDFcicP4qf6cj9Bog8G6R5EFcqRdkRHvYCy1,1197.2546,67.741936,31,39.48149,40.018387,5941.9,0,[],{},2024-11-22 20:46:01.000000
6GDARTrWPYhhAuSQyG8JG9HayEt5ZKdVJmKts8bitNA6,67.65879,87.09677,31,77.22945,1.4114516,242.6,0,[],{},2024-11-22 20:57:57.000000
4MrMrnJVgsVMWqiUKMXPK6o7A5wXXbetmMpV6GrtmRzz,7673.848,64.51613,31,92.817856,130.08049,23615.92,0,[],{},2024-11-22 21:03:06.000000
3Up7zPDvdQptKjhiM1hw93NKQqnB7zW3WvtEHMWLxMaT,9696.512,62.264153,53,30.342894,334.6369,80192.75,0,[],{},2024-11-22 21:06:21.000000
